colour	x	y	group	key	clickSelects	showSelected1	showSelected2	PANEL
#32D6BA	5	300	1	Berri	Berri	March 2009	Berri	2
#32D6BA	5	4338	1	Berri	Berri	May 2009	Berri	2
#32D6BA	5	6028	1	Berri	Berri	June 2009	Berri	2
#32D6BA	5	5121	1	Berri	Berri	July 2009	Berri	2
#32D6BA	5	5611	1	Berri	Berri	August 2009	Berri	2
#32D6BA	5	3533	1	Berri	Berri	September 2009	Berri	2
#32D6BA	5	2935	1	Berri	Berri	October 2009	Berri	2
#32D6BA	5	1767	1	Berri	Berri	November 2009	Berri	2
#32D6BA	5	594	1	Berri	Berri	December 2009	Berri	2
#32D6BA	5	225	1	Berri	Berri	January 2010	Berri	2
#32D6BA	5	246	1	Berri	Berri	February 2010	Berri	2
#32D6BA	5	629	1	Berri	Berri	March 2010	Berri	2
#32D6BA	5	1175	1	Berri	Berri	April 2010	Berri	2
#32D6BA	5	5333	1	Berri	Berri	May 2010	Berri	2
#32D6BA	5	2884	1	Berri	Berri	June 2010	Berri	2
#32D6BA	5	6502	1	Berri	Berri	July 2010	Berri	2
#32D6BA	5	4657	1	Berri	Berri	August 2010	Berri	2
#32D6BA	5	2193	1	Berri	Berri	September 2010	Berri	2
#32D6BA	5	4733	1	Berri	Berri	October 2010	Berri	2
#32D6BA	5	1008	1	Berri	Berri	November 2010	Berri	2
#32D6BA	5	231	1	Berri	Berri	December 2010	Berri	2
#32D6BA	5	237	1	Berri	Berri	January 2011	Berri	2
#32D6BA	5	98	1	Berri	Berri	February 2011	Berri	2
#32D6BA	5	79	1	Berri	Berri	March 2011	Berri	2
#32D6BA	5	729	1	Berri	Berri	April 2011	Berri	2
#32D6BA	5	3495	1	Berri	Berri	June 2011	Berri	2
#32D6BA	5	6570	1	Berri	Berri	July 2011	Berri	2
#32D6BA	5	5588	1	Berri	Berri	August 2011	Berri	2
#32D6BA	5	906	1	Berri	Berri	September 2011	Berri	2
#32D6BA	5	197	1	Berri	Berri	January 2012	Berri	2
#32D6BA	5	72	1	Berri	Berri	February 2012	Berri	2
#32D6BA	5	155	1	Berri	Berri	March 2012	Berri	2
#32D6BA	5	2424	1	Berri	Berri	April 2012	Berri	2
#32D6BA	5	3492	1	Berri	Berri	May 2012	Berri	2
#32D6BA	5	5842	1	Berri	Berri	June 2012	Berri	2
#32D6BA	5	6672	1	Berri	Berri	July 2012	Berri	2
#32D6BA	5	1864	1	Berri	Berri	August 2012	Berri	2
#32D6BA	5	5655	1	Berri	Berri	September 2012	Berri	2
#32D6BA	5	4151	1	Berri	Berri	October 2012	Berri	2
#32D6BA	5	2247	1	Berri	Berri	November 2012	Berri	2
#32D6BA	5	52	1	Berri	Berri	January 2013	Berri	2
#32D6BA	5	295	1	Berri	Berri	February 2013	Berri	2
#32D6BA	5	484	1	Berri	Berri	March 2013	Berri	2
#32D6BA	5	1098	1	Berri	Berri	April 2013	Berri	2
#32D6BA	5	4652	1	Berri	Berri	May 2013	Berri	2
#32D6BA	5	6224	1	Berri	Berri	June 2013	Berri	2
#32D6BA	5	5890	1	Berri	Berri	July 2013	Berri	2
#32D6BA	5	4980	1	Berri	Berri	August 2013	Berri	2
#32D6BA	5	6321	1	Berri	Berri	September 2013	Berri	2
#32D6BA	6	261	1	Berri	Berri	January 2009	Berri	2
#32D6BA	6	185	1	Berri	Berri	February 2009	Berri	2
#32D6BA	6	176	1	Berri	Berri	March 2009	Berri	2
#32D6BA	6	2757	1	Berri	Berri	May 2009	Berri	2
#32D6BA	6	3876	1	Berri	Berri	June 2009	Berri	2
#32D6BA	6	3862	1	Berri	Berri	July 2009	Berri	2
#32D6BA	6	4197	1	Berri	Berri	August 2009	Berri	2
#32D6BA	6	3888	1	Berri	Berri	September 2009	Berri	2
#32D6BA	6	3852	1	Berri	Berri	October 2009	Berri	2
#32D6BA	6	1735	1	Berri	Berri	November 2009	Berri	2
#32D6BA	6	501	1	Berri	Berri	December 2009	Berri	2
#32D6BA	6	203	1	Berri	Berri	January 2010	Berri	2
#32D6BA	6	111	1	Berri	Berri	February 2010	Berri	2
#32D6BA	6	687	1	Berri	Berri	March 2010	Berri	2
#32D6BA	6	2558	1	Berri	Berri	April 2010	Berri	2
#32D6BA	6	3354	1	Berri	Berri	May 2010	Berri	2
#32D6BA	6	989	1	Berri	Berri	June 2010	Berri	2
#32D6BA	6	6313	1	Berri	Berri	July 2010	Berri	2
#32D6BA	6	4713	1	Berri	Berri	August 2010	Berri	2
#32D6BA	6	2766	1	Berri	Berri	September 2010	Berri	2
#32D6BA	6	2377	1	Berri	Berri	October 2010	Berri	2
#32D6BA	6	1214	1	Berri	Berri	November 2010	Berri	2
#32D6BA	6	312	1	Berri	Berri	December 2010	Berri	2
#32D6BA	6	252	1	Berri	Berri	January 2011	Berri	2
#32D6BA	6	63	1	Berri	Berri	February 2011	Berri	2
#32D6BA	6	56	1	Berri	Berri	March 2011	Berri	2
#32D6BA	6	1544	1	Berri	Berri	April 2011	Berri	2
#32D6BA	6	6149	1	Berri	Berri	June 2011	Berri	2
#32D6BA	6	5054	1	Berri	Berri	July 2011	Berri	2
#32D6BA	6	3978	1	Berri	Berri	August 2011	Berri	2
#32D6BA	6	5599	1	Berri	Berri	September 2011	Berri	2
#32D6BA	6	146	1	Berri	Berri	January 2012	Berri	2
#32D6BA	6	248	1	Berri	Berri	February 2012	Berri	2
#32D6BA	6	269	1	Berri	Berri	March 2012	Berri	2
#32D6BA	6	1633	1	Berri	Berri	April 2012	Berri	2
#32D6BA	6	3411	1	Berri	Berri	May 2012	Berri	2
#32D6BA	6	6037	1	Berri	Berri	June 2012	Berri	2
#32D6BA	6	5958	1	Berri	Berri	July 2012	Berri	2
#32D6BA	6	5240	1	Berri	Berri	August 2012	Berri	2
#32D6BA	6	5883	1	Berri	Berri	September 2012	Berri	2
#32D6BA	6	1304	1	Berri	Berri	October 2012	Berri	2
#32D6BA	6	37	1	Berri	Berri	January 2013	Berri	2
#32D6BA	6	325	1	Berri	Berri	February 2013	Berri	2
#32D6BA	6	475	1	Berri	Berri	March 2013	Berri	2
#32D6BA	6	771	1	Berri	Berri	April 2013	Berri	2
#32D6BA	6	5593	1	Berri	Berri	May 2013	Berri	2
#32D6BA	6	3218	1	Berri	Berri	June 2013	Berri	2
#32D6BA	6	4774	1	Berri	Berri	July 2013	Berri	2
#32D6BA	6	6023	1	Berri	Berri	August 2013	Berri	2
#32D6BA	6	5555	1	Berri	Berri	September 2013	Berri	2
#32D6BA	7	60	1	Berri	Berri	January 2009	Berri	2
#32D6BA	7	95	1	Berri	Berri	February 2009	Berri	2
#32D6BA	7	195	1	Berri	Berri	March 2009	Berri	2
#32D6BA	7	970	1	Berri	Berri	May 2009	Berri	2
#32D6BA	7	2742	1	Berri	Berri	June 2009	Berri	2
#32D6BA	7	3036	1	Berri	Berri	July 2009	Berri	2
#32D6BA	7	4265	1	Berri	Berri	August 2009	Berri	2
#32D6BA	7	3683	1	Berri	Berri	September 2009	Berri	2
#32D6BA	7	2115	1	Berri	Berri	October 2009	Berri	2
#32D6BA	7	872	1	Berri	Berri	November 2009	Berri	2
#32D6BA	7	669	1	Berri	Berri	December 2009	Berri	2
#32D6BA	7	192	1	Berri	Berri	January 2010	Berri	2
#32D6BA	7	122	1	Berri	Berri	February 2010	Berri	2
#32D6BA	7	571	1	Berri	Berri	March 2010	Berri	2
#32D6BA	7	1448	1	Berri	Berri	April 2010	Berri	2
#32D6BA	7	4276	1	Berri	Berri	May 2010	Berri	2
#32D6BA	7	5128	1	Berri	Berri	June 2010	Berri	2
#32D6BA	7	5469	1	Berri	Berri	July 2010	Berri	2
#32D6BA	7	4313	1	Berri	Berri	August 2010	Berri	2
#32D6BA	7	4790	1	Berri	Berri	September 2010	Berri	2
#32D6BA	7	2358	1	Berri	Berri	October 2010	Berri	2
#32D6BA	7	1170	1	Berri	Berri	November 2010	Berri	2
#32D6BA	7	122	1	Berri	Berri	December 2010	Berri	2
#32D6BA	7	228	1	Berri	Berri	January 2011	Berri	2
#32D6BA	7	174	1	Berri	Berri	February 2011	Berri	2
#32D6BA	7	21	1	Berri	Berri	March 2011	Berri	2
#32D6BA	7	1755	1	Berri	Berri	April 2011	Berri	2
#32D6BA	7	6932	1	Berri	Berri	June 2011	Berri	2
#32D6BA	7	6972	1	Berri	Berri	July 2011	Berri	2
#32D6BA	7	2488	1	Berri	Berri	August 2011	Berri	2
#32D6BA	7	4747	1	Berri	Berri	September 2011	Berri	2
#32D6BA	7	98	1	Berri	Berri	January 2012	Berri	2
#32D6BA	7	316	1	Berri	Berri	February 2012	Berri	2
#32D6BA	7	438	1	Berri	Berri	March 2012	Berri	2
#32D6BA	7	1208	1	Berri	Berri	April 2012	Berri	2
#32D6BA	7	5552	1	Berri	Berri	May 2012	Berri	2
#32D6BA	7	6246	1	Berri	Berri	June 2012	Berri	2
#32D6BA	7	5420	1	Berri	Berri	July 2012	Berri	2
#32D6BA	7	5997	1	Berri	Berri	August 2012	Berri	2
#32D6BA	7	6186	1	Berri	Berri	September 2012	Berri	2
#32D6BA	7	1580	1	Berri	Berri	October 2012	Berri	2
#32D6BA	7	159	1	Berri	Berri	January 2013	Berri	2
#32D6BA	7	234	1	Berri	Berri	February 2013	Berri	2
#32D6BA	7	484	1	Berri	Berri	March 2013	Berri	2
#32D6BA	7	509	1	Berri	Berri	April 2013	Berri	2
#32D6BA	7	6323	1	Berri	Berri	May 2013	Berri	2
#32D6BA	7	2205	1	Berri	Berri	June 2013	Berri	2
#32D6BA	7	3909	1	Berri	Berri	July 2013	Berri	2
#32D6BA	7	5255	1	Berri	Berri	August 2013	Berri	2
#32D6BA	7	2324	1	Berri	Berri	September 2013	Berri	2
#32D6BA	8	24	1	Berri	Berri	January 2009	Berri	2
#32D6BA	8	82	1	Berri	Berri	February 2009	Berri	2
#32D6BA	8	310	1	Berri	Berri	March 2009	Berri	2
#32D6BA	8	2767	1	Berri	Berri	May 2009	Berri	2
#32D6BA	8	4973	1	Berri	Berri	June 2009	Berri	2
#32D6BA	8	3744	1	Berri	Berri	July 2009	Berri	2
#32D6BA	8	4589	1	Berri	Berri	August 2009	Berri	2
#32D6BA	8	5452	1	Berri	Berri	September 2009	Berri	2
#32D6BA	8	3336	1	Berri	Berri	October 2009	Berri	2
#32D6BA	8	1541	1	Berri	Berri	November 2009	Berri	2
#32D6BA	8	570	1	Berri	Berri	December 2009	Berri	2
#32D6BA	8	261	1	Berri	Berri	January 2010	Berri	2
#32D6BA	8	222	1	Berri	Berri	February 2010	Berri	2
#32D6BA	8	921	1	Berri	Berri	March 2010	Berri	2
#32D6BA	8	1617	1	Berri	Berri	April 2010	Berri	2
#32D6BA	8	702	1	Berri	Berri	May 2010	Berri	2
#32D6BA	8	6281	1	Berri	Berri	June 2010	Berri	2
#32D6BA	8	5193	1	Berri	Berri	July 2010	Berri	2
#32D6BA	8	2045	1	Berri	Berri	August 2010	Berri	2
#32D6BA	8	4283	1	Berri	Berri	September 2010	Berri	2
#32D6BA	8	2404	1	Berri	Berri	October 2010	Berri	2
#32D6BA	8	1601	1	Berri	Berri	November 2010	Berri	2
#32D6BA	8	159	1	Berri	Berri	December 2010	Berri	2
#32D6BA	8	117	1	Berri	Berri	January 2011	Berri	2
#32D6BA	8	199	1	Berri	Berri	February 2011	Berri	2
#32D6BA	8	139	1	Berri	Berri	March 2011	Berri	2
#32D6BA	8	2083	1	Berri	Berri	April 2011	Berri	2
#32D6BA	8	5783	1	Berri	Berri	June 2011	Berri	2
#32D6BA	8	6158	1	Berri	Berri	July 2011	Berri	2
#32D6BA	8	4730	1	Berri	Berri	August 2011	Berri	2
#32D6BA	8	6287	1	Berri	Berri	September 2011	Berri	2
#32D6BA	8	95	1	Berri	Berri	January 2012	Berri	2
#32D6BA	8	271	1	Berri	Berri	February 2012	Berri	2
#32D6BA	8	348	1	Berri	Berri	March 2012	Berri	2
#32D6BA	8	1164	1	Berri	Berri	April 2012	Berri	2
#32D6BA	8	1241	1	Berri	Berri	May 2012	Berri	2
#32D6BA	8	4169	1	Berri	Berri	June 2012	Berri	2
#32D6BA	8	4756	1	Berri	Berri	July 2012	Berri	2
#32D6BA	8	5498	1	Berri	Berri	August 2012	Berri	2
#32D6BA	8	2155	1	Berri	Berri	September 2012	Berri	2
#32D6BA	8	1854	1	Berri	Berri	October 2012	Berri	2
#32D6BA	8	327	1	Berri	Berri	January 2013	Berri	2
#32D6BA	8	148	1	Berri	Berri	February 2013	Berri	2
#32D6BA	8	536	1	Berri	Berri	March 2013	Berri	2
#32D6BA	8	1878	1	Berri	Berri	April 2013	Berri	2
#32D6BA	8	6428	1	Berri	Berri	May 2013	Berri	2
#32D6BA	8	1333	1	Berri	Berri	June 2013	Berri	2
#32D6BA	8	5181	1	Berri	Berri	July 2013	Berri	2
#32D6BA	8	5156	1	Berri	Berri	August 2013	Berri	2
#32D6BA	8	2997	1	Berri	Berri	September 2013	Berri	2
#32D6BA	9	35	1	Berri	Berri	January 2009	Berri	2
#32D6BA	9	190	1	Berri	Berri	February 2009	Berri	2
#32D6BA	9	7	1	Berri	Berri	March 2009	Berri	2
#32D6BA	9	1493	1	Berri	Berri	May 2009	Berri	2
#32D6BA	9	1125	1	Berri	Berri	June 2009	Berri	2
#32D6BA	9	6626	1	Berri	Berri	July 2009	Berri	2
#32D6BA	9	2775	1	Berri	Berri	August 2009	Berri	2
#32D6BA	9	5575	1	Berri	Berri	September 2009	Berri	2
#32D6BA	9	1302	1	Berri	Berri	October 2009	Berri	2
#32D6BA	9	2540	1	Berri	Berri	November 2009	Berri	2
#32D6BA	9	185	1	Berri	Berri	December 2009	Berri	2
#32D6BA	9	88	1	Berri	Berri	January 2010	Berri	2
#32D6BA	9	326	1	Berri	Berri	February 2010	Berri	2
#32D6BA	9	1050	1	Berri	Berri	March 2010	Berri	2
#32D6BA	9	1305	1	Berri	Berri	April 2010	Berri	2
#32D6BA	9	545	1	Berri	Berri	May 2010	Berri	2
#32D6BA	9	6377	1	Berri	Berri	June 2010	Berri	2
