colour	x	y	label	key	clickSelects	showSelected1	showSelected2	PANEL	group
#FC9D31	10	1063	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	January 2012	2	213
#FC9D31	16	1069	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	February 2012	2	214
#FC9D31	21	4010	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	March 2012	2	215
#FC9D31	19	5811	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	April 2012	2	216
#FC9D31	30	8132	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	May 2012	2	217
#FC9D31	7	8722	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	June 2012	2	218
#FC9D31	5	8264	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	July 2012	2	219
#FC9D31	22	7565	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	August 2012	2	220
#FC9D31	13	8014	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	September 2012	2	221
#FC9D31	2	6345	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	October 2012	2	222
#FC9D31	5	3721	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	November 2012	2	223
#FB8072	10	775	du Parc	du Parc	du Parc	du Parc	January 2012	2	114
#FB8072	23	829	du Parc	du Parc	du Parc	du Parc	February 2012	2	115
#FB8072	21	2725	du Parc	du Parc	du Parc	du Parc	March 2012	2	116
#FB8072	19	3377	du Parc	du Parc	du Parc	du Parc	April 2012	2	117
#FB8072	14	4368	du Parc	du Parc	du Parc	du Parc	May 2012	2	118
#FB8072	14	4723	du Parc	du Parc	du Parc	du Parc	June 2012	2	119
#FB8072	3	4396	du Parc	du Parc	du Parc	du Parc	July 2012	2	120
#FB8072	22	4274	du Parc	du Parc	du Parc	du Parc	August 2012	2	121
#FB8072	12	5010	du Parc	du Parc	du Parc	du Parc	September 2012	2	122
#FB8072	2	4232	du Parc	du Parc	du Parc	du Parc	October 2012	2	123
#FB8072	5	2643	du Parc	du Parc	du Parc	du Parc	November 2012	2	124
