colour	x	y	group	clickSelects	showSelected1	PANEL
#FC9D31	1281810600	4910.1935483871	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1284489000	4559.83333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1287081000	3126.58064516129	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1289759400	2085.76666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1292351400	330.41935483871	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1295029800	305.903225806452	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1297708200	271.214285714286	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1300127400	587.41935483871	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1302805800	2034.56666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1305397800	4137.74193548387	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1308076200	5905.7	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1310668200	6106.25806451613	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1313346600	5573.16129032258	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1316025000	5666.93333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1318617000	3630.38709677419	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1321295400	4193.66666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1326565800	249.58064516129	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1329244200	352.620689655172	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1331749800	1152.77419354839	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1334428200	2859.53333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1337020200	4987.38709677419	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1339698600	5640.9	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1342290600	5892.67741935484	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1344969000	5437.29032258065	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1347647400	4909.23333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1350239400	3721.29032258065	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1352917800	2198.8	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1358188200	303.034482758621	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1360866600	317.714285714286	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1363285800	678.096774193548	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1365964200	2520.4	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1368556200	5087.45161290323	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1371234600	4919.93333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1373826600	5622.29032258065	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1376505000	5200.48387096774	6	Maisonneuve 2	Maisonneuve 2	2
#FC9D31	1379183400	4798.11111111111	6	Maisonneuve 2	Maisonneuve 2	2
#93DF10	1287081000	429.541666666667	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1289759400	142.933333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1292351400	31.375	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1295029800	2.26086956521739	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1297708200	1.375	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1300127400	4.45454545454545	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1302805800	520.166666666667	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1305397800	1233.8064516129	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1308076200	1584.06666666667	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1310668200	2647.77419354839	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1313346600	1743.74193548387	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1316025000	1483.73333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1318617000	648.258064516129	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1321295400	413	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1326565800	6.4	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1329244200	8.27586206896552	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1331749800	265.36	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1334428200	539.833333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1337020200	1617.09677419355	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1339698600	1768.1	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1342290600	2581.70967741936	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1344969000	1857.51612903226	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1347647400	1410.93333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1350239400	636.967741935484	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1352917800	148.6	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1358188200	2.77777777777778	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1360866600	6.125	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1363285800	61.0967741935484	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1365964200	681.333333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1368556200	1699.03225806452	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1371234600	1655.76666666667	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1373826600	2621.48387096774	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1376505000	2224.48387096774	7	Pierre-Dupuy	Pierre-Dupuy	2
#93DF10	1379183400	1434.94444444444	7	Pierre-Dupuy	Pierre-Dupuy	2
#F58AC1	1287081000	2169.1724137931	8	Rachel	Rachel	2
