colour	x	y	tooltip	clickSelects	showSelected1	PANEL	fill
#A799FF	1376505000	1949.03225806452	60420 cyclists counted at C么te-Sainte-Catherine in 31 days of August 2013 (mean 1949 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#A799FF	1379183400	2295	41310 cyclists counted at C么te-Sainte-Catherine in 18 days of September 2013 (mean 2295 cyclists/day)	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	#A799FF
#0591F5	1245004200	2004	46092 cyclists counted at Maisonneuve 1 in 23 days of June 2009 (mean 2004 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1247596200	2234	17872 cyclists counted at Maisonneuve 1 in 8 days of July 2009 (mean 2234 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1250274600	1886.12903225806	58470 cyclists counted at Maisonneuve 1 in 31 days of August 2009 (mean 1886 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1252953000	1572.17857142857	44021 cyclists counted at Maisonneuve 1 in 28 days of September 2009 (mean 1572 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1255545000	720.5	21615 cyclists counted at Maisonneuve 1 in 30 days of October 2009 (mean 720 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1258223400	817.566666666667	24527 cyclists counted at Maisonneuve 1 in 30 days of November 2009 (mean 817 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1260815400	171.935483870968	5330 cyclists counted at Maisonneuve 1 in 31 days of December 2009 (mean 171 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1263493800	109.516129032258	3395 cyclists counted at Maisonneuve 1 in 31 days of January 2010 (mean 109 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1266172200	147.607142857143	4133 cyclists counted at Maisonneuve 1 in 28 days of February 2010 (mean 147 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1268591400	583.129032258065	18077 cyclists counted at Maisonneuve 1 in 31 days of March 2010 (mean 583 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1271269800	1411.13333333333	42334 cyclists counted at Maisonneuve 1 in 30 days of April 2010 (mean 1411 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1273861800	2566.22580645161	79553 cyclists counted at Maisonneuve 1 in 31 days of May 2010 (mean 2566 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1276540200	3026.53333333333	90796 cyclists counted at Maisonneuve 1 in 30 days of June 2010 (mean 3026 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1279132200	3006.51612903226	93202 cyclists counted at Maisonneuve 1 in 31 days of July 2010 (mean 3006 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1281810600	2289.8	34347 cyclists counted at Maisonneuve 1 in 15 days of August 2010 (mean 2289 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1287081000	1482.45833333333	35579 cyclists counted at Maisonneuve 1 in 24 days of October 2010 (mean 1482 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1289759400	1021.7	30651 cyclists counted at Maisonneuve 1 in 30 days of November 2010 (mean 1021 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1292351400	142.548387096774	4419 cyclists counted at Maisonneuve 1 in 31 days of December 2010 (mean 142 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1295029800	115.516129032258	3581 cyclists counted at Maisonneuve 1 in 31 days of January 2011 (mean 115 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1297708200	101.214285714286	2834 cyclists counted at Maisonneuve 1 in 28 days of February 2011 (mean 101 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
